	kor	eng
793	네 혈액형이 뭐지?	What is your blood type?
794	어리광 부리지 마.	Stop acting like a spoilt child.
795	어리광 부리지 마.	Stop the childish cutesy act.
796	우리는 당초의 목표를 달성하지 못했다	We couldn't reach the initial goal.
797	해를 거듭할수록 고향 생각이 간절하다	"As years pass by	 I long for my hometown more and more."
798	부뚜막의 소금도 집어넣어야 짜다.	Salt in the kitchen will only make food salty if you use it.
799	부뚜막의 소금도 집어넣어야 짜다.	"Nothing ventured	 nothing gained."
800	부뚜막의 소금도 집어넣어야 짜다.	"No pain	 no gain."
801	꿈자리가 사나워 잠을 설쳤다	I couldn't sleep well because of a harsh dream.
802	기쁨은 나누면 배가 되고 슬픔은 나누면 반이 된다.	"Happiness shared returns many-fold	 sadness shared comes back halved."
803	다다익선.	"The more	 the merrier."
804	다다익선.	"The more	 the better."
805	세상 참 좁네요!	Such a small world!
806	개 눈에는 똥만 보인다	The dog's eye can only see shit.
807	개 눈에는 똥만 보인다	You can only see what you like the most.
808	짚신도 짝이 있다	Even a straw shoe belongs to a pair.
809	짚신도 짝이 있다	Every Jack has his Jill.
810	짚신도 짝이 있다	There's someone for everyone.
811	개는 잘 짖는 다고 좋은 개가 아니다.	A dog who is a good barker is not a good dog.
812	고슴도치에 놀란 호랑이 밤송이 보고 절한다.	A tiger surprised by a hedgehog will bow before the chestnut burrs.
813	고생하셨어요.	You worked hard.
814	할머니는 구수한 옛날 얘기를 들려주시곤 했다.	My grandmother used to tell me pleasant fairy tales.
815	감사하는 빛이 그의 얼굴에 역력하다.	His face clearly shows gratitude.
816	감사하는 빛이 그의 얼굴에 역력하다.	An expression of gratitude can be clearly seen on his face.
817	여자들은 대부분 화려한 결혼식을 꿈꿔.	Most women dream of a splendid wedding.
818	그들이 그렇게 외설적인 언어를 쓰다니 정말 역겹다.	To think they would use such indecent language! It's really disgusting.
819	기름과 물은 혼합되지 않는다.	Oil and water do not mix.
820	우리 새벽에 일어났어요.	We woke up at the crack of dawn.
821	그걸 어디에 숨겼니?	Where did you hide them?
822	그걸 어디에 숨겼어요?	Where did you hide them?
823	그걸 어디에 숨겼어?	Where did you hide them?
824	너 똑똑하다.	You're smart.
825	아무리 머리를 굴려 봐도 답이 안 나와.	I racked my brain and still could not come up with the answer.
826	어제 술을 너무 많이 마셔서 오늘 머리가 깨질 것처럼 아파요.	I drank so much alcohol yesterday that my head feels like it will explode.
827	혼자 노래방에 간 적도 있어요?	Have you ever been to karaoke alone?
828	무난히 해결했어요.	It was easily resolved.
829	남남북녀.	"Southern men	 Northern women."
830	그건 내가 할 소리야.	I said I would do that!
831	진수 씨가 저를 도와주신 것을 감사하는 뜻으로 저녁에 초대하려고 해요.	I wanted to invite Mr. Jinsu this evening to thank him for helping me earlier.
832	엄마 설겆이 하시나 봐.	It seems Mom is doing the dishes.
833	수면 부족이 점차 건강에 영향을 미친다.	Lack of sleep can gradually affect health.
834	"수아 씨	 요즘 요가 하신다더니 정말 날씬해지셨네요."	"Miss Sua	 she's been doing yoga recently and really lost a lot of weight!"
835	요즘 여행 준비하느라 아주 바쁘시지요?	Aren't you extremely busy preparing for your trip these days?
836	나는 의사가 아닙니다.	I'm not a doctor.
837	민주주의의 좋은 점은 바로 이렇다: 누구나 그들의 단편적인 생각을 말할 수 있지만 누구도 거기에 귀를 기울일 필요는 없다는 것이다	"The good things about democracy is: anybody can say what's on their mind	 but nobody has to listen to it."
838	멀거나 기억 속의 물건을 가르켜 이름.	A name indicating something far away or in distant memory.
839	이 짓이 지겨워 죽겠어.	This task was deadly tedious.
840	이 짓이 지겨워 죽겠어.	This task was incredibly boring.
841	오해 하지 마세요.	Don't let me be misunderstood.
842	오해 하지 마세요.	Don't misunderstand me.
843	오해 하지 마세요.	Do not misunderstand this.
844	우린 서로 첫눈에 반했어요.	It was love at first sight.
845	나랑 사귈래요?	Would you like to go out with me?
846	당신에게 반했습니다.	I'm crazy about you.
847	당신에게 반했습니다.	I'm crazy for you!
848	사랑합니다.	I love you.
849	저는 수상스키를 타고 싶어요.	I want to water ski.
850	당신은 어떻게 잤어요?	"How did you sleep	 dear?"
851	여기 좋은 식당이 어디 있어요?	Where's a good restaurant around here?
852	우리 도시에는 축구 경기장이 있어요.	There is a soccer stadium in the city where I live.
853	당신은 담배를 너무 많이 피워요 – 너무 많이 담배를 피우지 마세요!	You smoke too much. Don't smoke so much!
854	우리는 운전하다 길을 잃었어요.	We got lost while driving.
855	밤에 혼자 산책하는 것은 위험해요?	Is it dangerous to go out for walks at night?
856	학생 할인이 있어요?	Is there a student discount?
857	당신은 물에 얼음을 넣어 마셔요?	Do you drink iced water?
858	저는 중간에 앉고 싶어요.	I want to sit in the middle.
859	오렌지는 무슨 색이에요?	What colour is orange?
860	저는 설탕이 없어서 안 마셔요.	I don't drink that without sugar.
861	아마 내일은 날씨가 나아질 거예요.	Perhaps the weather will get better tomorrow.
862	아마 내일은 날씨가 나아질 거예요.	The weather will probably clear up tomorrow.
863	우리는 영화관에 가고 싶어요.	We want to go to the cinema.
864	누가 설거지를 해요?	Who's doing the dishes?
865	그는 지루한 소설을 읽어요.	He read a boring novel.
866	그에게 여자친구가 있다는 것은 아주 가능성이 높아요.	There is a good chance of him having a girlfriend.
867	저는 예순 살이 되자마자 일을 그만둘 거예요.	I will retire as soon as I turn sixty.
868	차고의 열쇠가 없어졌어요.	The keys to the garage are gone.
869	저는 제 열쇠를 못 찾겠어요.	I can't find my keys.
870	그의 열쇠가 어디 있는지 알아요?	Do you know where his keys are?
871	사자는 정글의 왕이다.	The lion is the king of the jungle.
872	당신은 왜 선생님이 됐어요?	Why did you become a teacher?
873	저는 학생이 아닙니다.	I am not a student.
874	이것은 책입니다.	It is a book.
875	그분은 학교에 버스로 갑니다.	He goes to school by bus.
876	집에 가십시오.	Please go home.
877	우리는 집에 갑니다.	We are going home.
878	너무 까다롭게 고르면 아무것도 못 받는다.	You won't get anything if you're too picky.
879	난 거기 가고 싶지 않아.	I don't want to go there.
880	크리스는 운전할 차가 없었어요.	Chris didn't have a car to drive.
881	너 언제 론돈에서 돌아 왔어죠?	When did you return from London?
882	사과 주스 두 잔 주세요.	"Two glasses of apple juice	 please."
883	모두 미아를 찾아 봤다.	Everyone looked for the missing kid.
884	할아버지가 팔십 구 세 돼셨어요.	My grandfather turned 89 years old.
885	뻥이야.	Just joshing.
886	"경험적 삶이란	 많은 시련들을 겪는 여정이다."	Experience Life is a journey in which one often faces lot of hardships.
887	나이를 먹은 여자라면 인생경험으로 알 수가 있다.	The elderly women can identify with her life experience.
888	나는 그가 자신의 인생 경험에 대해 열변을 토하는 것을 참을 수가 없다.	I can't stand him holding forth about his life experience.
889	삶의 경험은 중요한 지식체계이다.	Life experience is the chief body of knowledge.
890	"한 과목 듣긴 했는데	 실전 경험이 훨씬 더 유용한 것 같더라구요."	"I took one class	 but I've found that real-life experience is much more useful."
891	누군가를 너무도 많이 사랑하여 그것으로 울어 본 적이 있나요?	Have you ever loved somebody so much that it made you cry?
892	내 일을 어떻게 하면 되는지 나한테 말하고 있는거에요?	Are you telling me how to do my job?
893	그녀는 그에게 행복하냐고 물었다.	She asked him if he was happy.
894	나도 만나서 반가워요.	It's nice to meet you too.
895	우린 그렇게 생각 안 해요.	We don't believe so.
896	봄에 피는 꽃은 여러 가지가 있습니다.	"In spring	 there are various blooming flowers."
897	상황은 우리가 생각했던 것보다 나쁘다.	The situation is worse than we believed.
898	전화번호 좀 줄래요?	Could you give me your phone number?
899	부끄러워하지 마세요.	Don't be shy.
900	그는 생각에 잠겼다.	He was lost in thought.
901	겨울에 이 모자를 쓰고 다녀야 될 것 같아.	It seems that I'll have to wear this hat for winter.
902	메리가 톰의 누나다.	Mary is Tom's older sister.
903	미국 성인은 약 65퍼센트가 비만이고 그건 그들의 건강에 좋지 않다.	"About 65% of American adults are overweight	 which isn't good for their health."
904	내일 널 만나고 싶어.	I'd like to see you tomorrow.
905	엘리자베스가 알리스터를 냉혹하게 죽였다.	Elizabeth killed Alister in cold blood.
906	무료로 받을 수도 있어.	You may get it free of charge.
907	그녀가 케이크를 여섯 조각으로 잘라서 애들에게 한조각씩 줬다.	She cut the cake into six pieces and gave one to each of the children.
908	아버지의 사망을 알리는 전화를 받았을 때 나는 완전히 당황했다.	"When I got the phone call telling me of my father's death	 I was completely flustered."
909	그들은 너무 피곤하여 산을 오를 수 없었다.	They were too tired to climb a mountain.
910	그녀가 마음을 바꿀 것 같다.	It appears that she might change her mind.
911	내가 갖고 있는 게 어쩌면 네가 원하는 것일 수도 있어.	I think I've got something you might want.
912	그것의 긍정적인 면을 보자.	Let's look on the positive side.
913	그는 그림에 재능이 있었다.	He had a talent for painting.
914	그에 대해서 뭘 알아?	What do you know about him?
915	슬퍼하는 여자가 친구들에게서 위안을 받았다.	The grieving woman was consoled by her friends.
916	그들은 피곤하다.	They're tired.
917	그들은 침묵을 지켰다.	They kept silence.
918	톰이 언제 여기 왔지?	When did Tom get here?
919	나에겐 경치 좋은 산이 보이는 방이 있었다.	I had a room with a beautiful view of the mountains.
920	나는 내가 몇살인지 모르겠다.	I don't know how old I am.
921	그는 이웃주민의 행운을 부러워했다.	She was jealous of her neighbor's good fortune.
922	더 이상 경제적이지 않아서 여객선 운항을 멈췄다.	They closed down the ferry service since it was no longer economical.
923	양치기로 사는 건 나에게 맞지 않는 일이다.	I was not made for the life of a shepherd.
924	톰이 이 일에는 성격이 잘 맞습니다.	Tom certainly has the right temperament for the job.
925	언젠가 아이들은 다 둥지를 떠난다.	Children all leave the nest one day.
926	언젠가 아이들은 다 보금자리를 떠난다.	Children all leave the nest one day.
927	그 남자는 많은 대출업자에게서 돈을 빌리는 사람이다.	That man borrows money from many lenders.
928	너는 아빠랑 똑같다.	You're just like your father.
929	그걸 다시 보고 싶다.	I want to see it again.
930	너는 걔처럼 빨리 수영할 수 있어?	Can you swim as fast as he can?
931	너가 파티에서 입을 것을 사자.	Let's buy something for you to wear to the party.
932	이 기사를 읽는것만으로도 그 사고가 얼마나 심각했는지 알 수 있다.	You have only to read this article to see how serious the accident was.
933	파티 막바지에 그는 아직도 병원에 대해서 뭔가 중얼거리고 있었는데 얼음 조각에 미끄러 넘어져 왼쪽다리를 부러졌다.	He was still mumbling something about hospitals at the end of the party when he slipped on a piece of ice and broke his left leg.
934	나는 비타민C 섭취를 위해 신선한 레몬을 먹었다.	I ate a fresh lemon for the vitamin C.
935	나는 네가 진실을 말하는걸 안다.	I know you're telling the truth.
936	메세지 전해 드릴께요.	I can take a message.
937	답장을 아직도 못 받아서 혹시 내 우편물이 너한테 배달되지 않은 건지 궁금했다.	"Since I haven't received an answer	 I was wondering if maybe my mail never got delivered to you."
938	그가 재능있는 예술가인 것은 확실하다.	It is clear that he is a great artist.
939	나는 호수에 스케이트를 타러 갔다.	I went skating on the lake.
940	난 말하다가 목이 쉬었다.	I talked myself hoarse.
941	그 회사가 작년에 십억엔의 손실을 보았다.	The company suffered a loss of one billion yen last year.
942	사회가 변화하고 있다.	Society is changing.
943	어른들을 존경해야한다.	You have to respect your elders.
944	댐 밑에 물방앗간이 있었다.	There was a watermill under the dam.
945	그는 나에게 그 책은 재미있다고 했어요.	He told me that the book was interesting.
946	그가 그것을 내게 줬어요.	He gave it to me.
947	저는 내일 오전 6시에 체크아웃 하겠습니다.	I want to check out at 6 tomorrow morning.
948	톰은 충격을 받은 것 같다.	Tom looks shocked.
949	이것은 날 행복하게 만들지 못한다.	This does not make me happy.
950	아이들이 자전거를 타고 있다.	The children are riding their bikes.
951	천국과 지옥을 선택하는 것이 그렇게 어렵나요?	Is it so difficult to choose between heaven and hell?
952	그들은 그에게서 권위를 보았다.	They saw an authoriy in him.
953	요점은 그들이 너무 어리다는 것이다.	The point is they're too young.
954	너희 둘다 취했다.	You were both drunk.
955	그의 여동생뿐 아니라 그도 파티에 초대 되었다.	"He	 as well as his sister	 are invited to the party."
956	그는 딸을 위해 돈을 모았다.	He saved up his money for his daughter.
957	여권을 보여 주세요.	"Show me your passport	 please."
958	일 때문에 왔어요.	I'm here for work.
959	회사원입니다.	I am an office worker.
960	한국에 처음 오셨습니까?	Is this your first time in Korea?
961	"아니오	 두 번쨉니다."	"No	 this is my second time."
962	한국에 언제까지 계실 겁니까?	Until when will you be in South Korea?
963	한국에 언제까지 계실 겁니까?	How long will you be in Korea?
964	나는 컴퓨터를 사용합니다.	I'm using the computer.
965	나는 고양이 두 마리를 가지고 있다.	I have two cats.
966	미국 대사관이 어디입니까?	Where is the American embassy?
967	이번 주는 운전연습을 하느라고 바빠요.	I am busy this week because I practice driving.
968	"하나	 둘	 셋	 넷	 다섯	 여섯	 일곱	 여덟	 아홉	 열."	"One	 two	 three	 four	 five	 six	 seven	 eight	 nine	 ten."
969	밀리는 사과를 먹고 있어요.	Millie is eating an apple.
970	일본말 할 줄 아십니까?	Do you speak Japanese?
971	나는 수학이 싫어요.	I hate maths.
972	그 소년은 말이 있다.	The boy has a horse.
973	내 개는 큽니다.	My dog is big.
974	나는 배를 원해요.	I want a boat.
975	아랍어는 어렵지 않다.	Arabic isn't hard.
976	아랍어는 복잡하지 않다.	Arabic isn't complicated.
977	승차권을 여러 장 사면 요금 할인이 되나요?	Are there any discount fares for multiple trips?
978	나는 책을 샀어요.	I bought the book.
979	당신은 아름답다.	You are beautiful.
980	공부 시작 할까요?	Shall we start studying?
981	나는 가고 싶어요.	I want to go.
982	멜라니는 영어를 말합니다.	Melanie speaks English.
983	나는 멜라니와 말하고 싶어요.	I want to talk to Melanie.
984	소년은 신문이 있다.	The boy has a newspaper.
985	내가 부엌에서 물을 마시고 있어요.	I'm drinking water in the kitchen.
986	소년이 물을 마시고 있어요.	The boy is drinking water.
987	내가 학교에 간다.	I go to school.
988	커피 좋아해요?	Do you like coffee?
989	저는 학생이에요.	I am a student.
990	저 케익 맛있어요.	That cake is delicious.
991	어디 가고싶어요?	Where do you want to go?
992	5분만 더 있어	Please stay for 5 more minutes.
993	하와이는 지상낙원이라 불린다.	Hawaii is known as an earthly paradise.
994	가져도 될까요?	Can I have it?
995	여자는 아름답습니다.	The woman is beautiful.
996	이것은 신문입니다.	This is a newspaper.
997	이것은 테이블입니다.	This is a table.
998	이것은 핸드폰입니다.	This is a mobile phone.
999	이것은 텔레비전입니다.	This is a television.
1000	나는 사과를 먹고 있어요.	I'm eating an apple.
1001	에이미는 지금 음악을 듣고 있어요.	Aimee is listening to music now.
1002	당신은 의사입니까?	Are you a doctor?
1003	나는 좋다!	I'm good!
1004	당신이 메리를 죽였나요?	Did you kill Mary?
1005	그것은 학교입니다.	That is a school.
1006	개구리가 우는 소리는 내가 잠드는 데 도움이 됐다.	The frogs' croaking helped me fall asleep.
1007	너는 더 능률적으로 공부해야 된다.	You should study in an efficient manner.
1008	매년 겨울에 내 입술이 튼다.	I get chapped lips every winter.
1009	그들은 3번 적중을 했다.	They hit the mark three times.
1010	저 두 명은 사이가 안 좋다.	Those two don't get along.
1011	"그녀는 고급 진과 토닉 한 잔은 여름과도 같다고 했다	 그리고 그것은 나에게 진실함을 느끼게 해주었다."	"She said that a good gin and tonic is like summertime in a glass	 and it struck me as being too true."
1012	톰은 정학을 당했다.	Tom is suspended.
1013	그녀는 너무 고집스러웠다.	She was very insistent.
1014	빨대를 물이 담긴 잔에 넣으면 눈으로 쉽게 확인 할 수 있다.	You can see this easily if you put a straw into a glass of water.
1015	오랫동안 편지를 못 써서 죄송해요.	Please forgive me for not having written for a long time.
1016	문제는 우리는 시간이 충분하지 않다는 것이다.	The problem is that we don't have enough time.
1017	나는 선택권이 없구나.	I see I have no choice.
1018	난 내일 빌이 앤을 만나도록 했다.	I have arranged for Bill to meet Ann tomorrow.
1019	이 건물은 현대적으로 보인다.	This building looks very futuristic.
1020	톰이랑 매리는 뒤뜰에 닭을 기른다.	Tom and Mary have chickens in their backyard.
1021	여우가 닭을 죽었다.	The chickens were killed by a fox.
1022	너는 날 천천히 죽이고 있어.	You are killing me slowly.
1023	이 이야기는 해피앤딩이야?	Does the story have a happy ending?
1024	이렇게 콜렉션의 확실한 예를 보여줘서 정말 감사합니다.	Many thanks for this illustrative collection of examples.
1025	난 이 책을 저 책보다 좋아한다.	I like this book better than that one.
1026	"난 텀이 너의 옷을 입는 걸 네가 싫어하는지 알았는데	 그의 옷이 함빡 젖었었어."	"I know you didn't want Tom to wear your clothes	 but his were all wet."
1027	어떤 사람들은 람세스 2세는 6명의 아내와 100명 이상의 자녀가 있었다고 말한다.	Some say that Ramses II had six women and more than 100 children.
1028	나 오늘밤 너의 파티에 가도 돼?	Can I come to your party tonight?
1029	나 기대하고 있어.	I look forward to it.
1030	친구들이 슬퍼하는 여자를 위로해 주었다.	The grieving woman was consoled by her friends.
1031	전하실 말씀 있으시면 남겨주세요.	I can take a message.
1032	금방 올께요.	I'll be right back.
1033	나는 화장실에 가야 합니다.	I have to go to the toilet.
1034	난 학교에 가기 싫어.	I don't want to go to school.
1035	음란물 게시하는 것이 불법이며 적발 시 차단하겠습니다.	Posting porn is against the rules and when discovered will get you blocked.
1036	실례합니다. 대전에 가는 다음 기차가 몇시에 있습니까?	Excuse me. What time is the next train to Taejon?
1037	한국말을 공부합니다.	I study Korean.
1038	무엇을 공부합니까?	What do you study?
1039	제 이름은 제임스입니다.	My name is James.
1040	저것은 무엇입니까?	What is that?
1041	어느것이 백화점입니까?	Which one is the department store?
1042	"그래서 나는 여행을 사랑하고	 많은 문화와 언어를 경험하고 싶다."	"That's why I like traveling	 and would like to experience many different cultures."
1043	그 기간동안 나는 오직 빠리에서만 짧게 머물렀기 때문에 그 기간이 매우 아쉬웠다.	"Each time I spent only a short time in Paris	 and this has given me much to regret."
1044	"내가 모로코에서 만난 프랑스 친구가 나에게 빠리의 공기(분위기)가 프랑스의 전부를 나타내는 것이 아니며	 다른 도시들과 시골이 아주 아름답다고 말했다."	"I found a French friend in Morocco. She told me that the atmosphere in Paris is not that of the rest of France	 and that other cities and provinces are very beautiful."
1045	"그 말을 들은 후부터 나는 프랑스의 도시들과 시골을 여행하고 싶어졌고	 아름다운 언어인 프랑스어를 배우고 싶어졌으며	 무엇보다도	 프랑스 음식을 내 손으로 직접 만들고 싶어졌다.또한 프랑스의 분위기를 느끼고 싶다."	"Since I heard this	 I want to travel to French cities and provinces	 learn beautiful French	 and more than anything	 prepare French cuisine with my own hands. And feel the atmosphere of France."
1046	"그래서 나는 프랑스에 오래 머무르고 싶고	 그러기 위한 돈이 필요하다."	This is why I would like an extended visa as well as as funds for my stay.
1047	유남생?	You know what I'm saying?
1048	유남생?	Do you know what I'm saying?
1049	그 일은 내일까지 기다려도 돼?	Can the matter wait till tomorrow?
1050	그 일은 내일 해도 돼?	Can the matter wait till tomorrow?
1051	난 야구 시합을 티비로 보는 것이 제일 좋다.	I like nothing so much as to watch baseball games on television.
1052	난 야구 시합을 티비로 보는 것보다 좋아하는 것이 없다.	I like nothing so much as to watch baseball games on television.
1053	우리에게 필요한 것이 무엇인지 하나님께서는 아신다.	God knows what we need.
1054	"톰과의 데이트 후에 메리는 하루종일 정신이 산란했어	 수업에서 집중도 못하고 배고픔도 느끼지 못했어."	"After her first date with Tom	 Mary was distracted all day	 couldn't concentrate on her classes and didn't feel hungry."
1055	난 거의 죽을 뻔 했다.	I was almost killed.
1056	그녀는 털실로 스웨터를 짠다.	She knits a wool sweater.
1057	넌 깊은 수렁에 빠지고 있다.	You're getting into deep water.
1058	그는 아무도 그의 안락의자에 못 앉게 할 것이다.	He won't let anybody sit in his armchair.
1059	톰은 깜짝 놀랐다.	Tom was astonished.
1060	그녀는 교육생이다.	She's a trainee.
1061	관이 땅속으로 내려질 때 목사님께서 성호를 그으셨다.	The priest made the sign of the cross as the casket was lowered into the ground.
1062	마음대로 생각해.	Think whatever you want.
1063	여자들은 자주 외모로 평가된다.	Women are often judged by their looks.
1064	톰은 손을 가방 안으로 넣어 책을 꺼냈다.	Tom reached into his bag and pulled out a book.
1065	난 절대 농담하는게 아냐.	I'm dead serious.
1066	오늘 누가 왔었는지 알면 넌 아마 깜짝 놀랄걸.	You won't believe who came by today.
1067	오늘 누가 왔었는지 알면 넌 아마 깜짝 놀랄걸.	You may be shocked when you find out who came by today.
1068	넌 오늘 누가 왔었는지 못 믿을걸.	You won't believe who came by today.
1069	넌 준비해야 돼.	You need to be prepared.
1070	만약에 네가 나쁜 짓을 했다면 알려주는게 좋을거야.	You'd better tell me if you did something wrong.
1071	그가 돌아오면 메모를 전해주세요.	Give him the message when he comes back.
1072	폐를 끼쳐서 진심으로 후회합니다.	I sincerely regret having caused you such an inconvenience.
1073	"네가 톰한테 집에 가라고 할거야	 아니면 내가 해야 돼?"	"Are you going to tell Tom to go home	 or do I have to?"
1074	톰은 벽장에서 헌 구두상자를 꺼내 열었다.	Tom pulled out an old shoebox from his closet and opened it.
1075	그녀가 그런 일을 했을 리가 없다.	She cannot have done such a thing.
1076	이 길이 어디로 가는지 알려 줄래?	Can you tell where this road goes?
1077	톰은 불 옆에 앉았다.	Tom sat down by the fire.
1078	그는 공장장에게 해고됐다.	He was dismissed by the boss of the factory.
1079	톰은 몽상에 잠겨 있었다.	Tom was daydreaming.
1080	"어	 비가 언제부터 왔냐	 전혀 몰랐네."	Eh? When did it start raining? I didn't notice at all.
1081	일어난 일에 대해 그만 생각할 수 있었으면 좋겠다.	I wish I could stop thinking about what's happened.
1082	톰은 그들을 못 들어 가게 했다.	Tom wouldn't let them in.
1083	톰은 그들을 못 들어 오게 했다.	Tom wouldn't let them in.
1084	톰은 너말고는 아무와도 말하려 하지 않는다.	Tom just would not speak to anyone but you.
1085	이 기계가 잠시 고장났었다.	This machine was out of order for a while.
1086	사랑받고 있는 사람 중에 가난한 사람이 누가 있나?	"Who	 being loved	 is poor?"
1087	창 밖으로 손을 내밀지 마라.	Don't put your hands out the window.
1088	헤더는 자신의 생활방식을 아주 좋아한다.	Heather loves the way she lives her life.
1089	그는 최선을 다한다.	He's doing his best.
1090	"나는 이 소설을 읽을 때마다	 매번 이 소설에 흥미를 느낀다."	"Every time I read this novel	 I find it very interesting."
1091	지난달에 이와 똑같은 일이 일어났는데.	I had the same thing happen to me last month.
1092	그녀는 그한테 그녀의 아버지가 차고 청소 하는 것을 도와 주라고 했지만 그는 너무 바빠서 못 도와 준대.	"She asked him to help her father clean the garage	 but he said that he was too busy to help."
1093	처칠은 절을 짓는 비유를 쓴다.	Churchill uses the metaphor of building a temple.
1094	사무총장은 전쟁 중인 두 파벌 간에 평화조약을 협상하기 위해서 필사적으로 노력하고 있다.	The Secretary General is making a last-ditch effort to negotiate a peace treaty between the two warring factions.
1095	너희들 둘 다 톰을 아는 것 같은데.	I think you both know Tom.
1096	"진짜로	 우리가 이 문제에 대해 뭔가 해야 된다."	Seriously. We're going to have to do something about this.
1097	톰은 애들이 3명 있다.	Tom has three children.
1098	핸드백 속에 너무 많은 것을 넣었군.	You carry too much stuff in your purse.
1099	황소를 잡을 때는 뿔 부분을 잡아야 한다.	You have to take the bull by the horns.
1100	정면돌파해야 한다.	You have to take the bull by the horns.
1101	우린 애가 한 명 있다.	We have one kid.
1102	돈을 환전할 곳이 어디에요?	Where can I find a place to change money?
1103	어젯밤에 난 그가 빌려준 책에 빠져들었다.	"Last night	 I indulged in reading the book he lent me."
1104	이건 안 될 것 같다.	I don't think this is going to work.
1105	우리 실험은 그의 보고가 정확하하지 않았음을 밝혀내었다.	Our experiment has revealed that his report was inaccurate.
1106	그들은 기자회견 일정을 잡았다.	They have scheduled a press conference.
1107	넌 정말 착하구나.	You are as good as gold.
1108	넌 마음이 좋구나.	You are as good as gold.
1109	"이 컵	 너무 좋네!"	How nice this cup is!
1110	내가 그렇게 오랫동안에 멀리 있지 않았어야 했어.	I shouldn't have stayed away so long.
1111	내가 틀렸나?	Was I wrong?
1112	지베르니에는 모네의 집이랑 정원을 보러 온 사람들이 많다.	There were many people at Giverny to see Monet's house and gardens.
1113	이 수업에서 저희는 여러분들 발음이 좀 더 원어민처럼 들릴 수 있도록 돕는데 시간을 보내겠습니다.	"In this course	 we'll spend time helping you sound more like a native speaker."
1114	이제까지 온 여자 중 그녀가 가장 키가 큰 여자다.	She's by far the tallest girl.
1115	이제까지 그녀가 가장 키가 큰 여자다.	She's by far the tallest girl.
1116	아이를 살아 있는 상태로 찾을 희망이 빠르게 사라지고 있다.	Hope of finding the child alive is fading rapidly.
1117	아이를 살아 있는 채로 찾을 희망이 빠르게 사라지고 있다.	Hope of finding the child alive is fading rapidly.
1118	네가 아인슈타인이 아니라도 그 문제를 풀 수 있다.	You don't have to be Einstein to work that out.
1119	당신은 복구	You recovered.
1120	톰은 보통 버스를 타고 일하러 간다.	Tom generally takes the bus to work.
1121	날 도와주겠다는 그의 제안은 거절할 생각이다.	I intend to decline his offer to help me.
1122	모두들 내가 틀렸대.	Everyone said that I was wrong.
1123	톰은 대답하기를 거부했다.	Tom refused to answer.
1124	그녀는 머리를 금발로 염색했다.	She dyed her hair blonde.
1125	월트 디즈니가 뭘 그렸나?	What did Walt Disney draw?
1126	그의 회사가 생산하는 기계가 우리것보다 뛰어나다.	Machines that his company produces are superior to ours.
1127	총알 맞으면 죽는다.	"If you get shot	 you'll die."
1128	톰은 표적을 겨눴다.	Tom aimed at the target.
1129	네가 어제 톰에게 말했지?	"You talked to Tom yesterday	 didn't you?"
1130	난 톰과 메리가 맞는 것 같다.	I think Tom and Mary are right.
1131	어딘가 전혀 말이 안 되는 부분이 있다.	Something doesn't make any sense.
1132	이해되지 않는 부분이 있다.	Something doesn't make any sense.
1133	비가 오는 것 같으니 톰은 우산을 갖고 가는 게 좋을 것이다.	Tom should take an umbrella because it looks like rain.
1134	영국 여러 곳을 다녀왔다.	I visited many parts of England.
1135	톰은 메리에게 베개를 던져서 정확히 얼굴을 맞았다.	Tom threw a pillow at Mary and the pillow hit her squarely in the face.
1136	우리가 같이 갔으면 좋겠다.	I wish I were going with you.
1137	우리가 같이 갔으면 좋겠다.	I wish we were going together.
1138	경단 있어?	Do you have some dango?
1139	그녀는 안다. 늘 안다.	She knows. She always knows.
1140	그는 그녀에게 음식에 대한 불평을 했다.	He complained to her about the food.
1141	여기는 이주 전부터 비가 하나도 오지 않았다.	There has been no rain here for the past two weeks.
1142	난 톰이 의리있다고 생각한다.	I think Tom is loyal.
1143	톰은 암시장에서 몇 개를 샀다.	Tom bought some things on the black market.
1144	하늘을 마주해서 보면 그 산은 참 예뻐 보였다.	"Seen against the sky	 the mountain looked really beautiful."
1145	하늘을 배경 삼아 그 산은 참 예뻐 보였다.	"Seen against the sky	 the mountain looked really beautiful."
1146	톰은 열정적인 애지?	"Tom is passionate	 isn't he?"
1147	톰은 어지러움을 느꼈다.	Tom felt lightheaded.
1148	내일 낮에는 네가 바쁠 것이다.	You'll be busy tomorrow afternoon.
1149	그들은 널 원하지 않고 톰을 원한다.	They don't want you. They want Tom.
1150	부시는 바보가 아니다.	Bush is not an idiot.
1151	널 도와 줄 수 있는지 모르겠다.	I'm not sure I can help you.
1152	그는 항상 자기 자신에게 집중을 받고 싶었다.	He always wanted to call attention to himself.
1153	내가 찾아 볼게.	I'll find them.
1154	도망 친다.	They're escaping.
1155	우리는 부엌에 간다.	We're going to the kitchen.
1156	우리는 좀비들에게 공격당했다.	We were attacked by zombies.
1157	나는 네게 해야 할 일을 알려 주려고 하고 있어.	I'm trying to tell you what needs to be done.
1158	고등학교를 다닌 이래로 그렇게 한 적이 없다.	I haven't done that since high school.
1159	그는 살인죄로 종신형을 선고 받았다.	"Having been convicted of murder	 he was sentenced to life imprisonment."
